"","StationX","StationY","FUAId","FUAName","NO2AveGround","Dist","Pop2015","CBDX","CBDY","StationBackgrd"
"78",-249119.773376,7072567.54707,3304,"Manchester",34.640353,840.537350967,3270370.45977,-249835.906206,7072127.48252,"Background"
"79",2028829.55708,5791752.13989,700,"Pécs",43.429273,845.895802743,205822.818077,2029209.6494,5792507.83132,"Traffic"
"80",490205.803473,6659843.71584,1160,"Antwerp",28.782608,850.279222671,1817176.41497,489706.363529,6660531.85427,"Traffic"
"81",1294859.30003,6823981.23982,4553,"Magdeburg",25.055972,863.021811965,338257.892435,1295721.01292,6823933.72621,"Traffic"
"82",1957555.26716,6168817.71871,327,"Trnava",35.328985,863.794603338,139857.330934,1957842.41008,6169632.39046,"Traffic"
"83",1740902.13942,4594262.35512,4796,"Reggio Calabria",17.752673,867.173635134,195582.638272,1741535.10187,4594855.10182,"Background"
"84",1843481.93699,4986972.34441,4979,"Altamura",15.159928,877.693513133,70389.2202854,1842610.30588,4987075.32553,"Traffic"
"85",972452.785167,5149704.43987,4653,"Ajaccio",16.062428,885.288341133,92858.6372241,972825.713088,5148901.53252,"Background"
"86",1812961.4722,5059163.22237,4821,"Barletta",18.775654,885.883924796,92894.1205673,1812241.23517,5059679.0217,"Background"
"87",-393232.205045,6572807.40895,1854,"Exeter",29.099469,894.546804655,288568.963969,-392339.244816,6572754.1547,"Traffic"
"88",1388741.59446,5145097.75975,3881,"Rome",38.629294,914.858519475,3501925.08293,1389648.26914,5144975.66497,"Background"
"89",1322104.85672,5382636.12585,3407,"Arezzo",35.675168,916.426724247,103785.0206,1322777.22648,5383258.8271,"Traffic"
"90",1292759.92575,5596760.32081,3311,"Ferrara",37.588794,916.976875463,158578.948371,1293633.7835,5596482.43734,"Traffic"
"91",414080.574836,6630241.68394,657,"Ghent",25.43913,926.819536829,899790.149447,414695.415183,6630935.20092,"Traffic"
"92",1591773.47834,5881339.94995,511,"Klagenfurt",20.238415,930.317820554,152986.5157,1592602.31316,5880917.42884,"Background"
"93",4797516.27985,4953660.48339,5574,"Kars",37.926186,943.495775809,80158.0466404,4797228.85299,4954559.13242,"Traffic"
"94",1027021.37691,6299670.94667,3754,"Heilbronn",51.621908,949.880497645,336424.144929,1026245.4797,6299122.99003,"Traffic"
"95",779589.763617,6314104.22164,1287,"Saarbruecken",38.804756,957.829738259,570240.30175,778884.961792,6314752.82953,"Traffic"
"96",-37984.6592875,7122721.07136,5422,"Hull",22.038556,959.735399952,501052.082488,-37875.9408738,7121767.51363,"Background"
"97",964540.974998,6424190.26961,3297,"Darmstadt",21.170605,963.030548335,356087.587512,963578.508268,6424157.3207,"Background"
"98",415597.101307,6631316.64382,657,"Ghent",30.865217,979.04879969,899790.149447,414695.415183,6630935.20092,"Traffic"
"99",1228736.07909,6617660.35442,4388,"Erfurt",18.695879,998.275567381,239680.631531,1227780.76513,6617370.6488,"Background"
"100",1693714.58651,8238608.53059,761,"Örebro",13.903827,1001.34729102,156481.33723,1693448.20874,8239573.79702,"Traffic"
"101",-125148.488496,6916440.61707,4925,"Leicester",35.784209,1007.9611362,691528.573542,-125767.275408,6915644.94854,"Traffic"
"102",1094579.84004,5482911.458,2168,"La Spezia",41.872189,1028.81152579,162878.831962,1094065.76639,5482020.28942,"Traffic"
"103",1045939.34514,5756255.25374,1863,"Lecco",21.066364,1034.86113287,172671.605507,1045655.14609,5757250.32583,"Background"
"104",1045939.34514,5756255.25374,1863,"Lecco",37.281901,1034.86113287,172671.605507,1045655.14609,5757250.32583,"Traffic"
"105",1594985.44145,6756233.43911,5020,"Cottbus",27.446621,1035.40586966,108344.345623,1594978.98511,6757268.82485,"Traffic"
"106",-526572.112667,5108032.37089,2881,"Valladolid",30.076101,1035.54361779,384061.604943,-526391.451265,5109052.0336,"Traffic"
"107",2220379.45392,6456230.59967,3171,"Krakow",41.118823,1035.56443545,1284334.3974,2219370.56961,6456464.15084,"Traffic"
"108",845653.317303,6507879.93117,1846,"Koblenz",33.357259,1046.75895834,456236.586197,845831.978668,6508911.33043,"Traffic"
"109",845653.317303,6507879.93117,1846,"Koblenz",34.341682,1046.75895834,456236.586197,845831.978668,6508911.33043,"Traffic"
