"","FUAId","CellX","CellY","FUAName","NO2AveSatellite","Dist","Pop2015","CBDX","CBDY","Cmin"
"1",8,1245515.31459,5993926.46507,"Innsbruck",27.5722007751465,24331.7066588,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"2",8,1252515.31459,5993926.46507,"Innsbruck",27.5722007751465,17922.3258733,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"3",8,1273515.31459,5993926.46507,"Innsbruck",20.8934001922607,9835.81272945,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"4",8,1280515.31459,5993926.46507,"Innsbruck",23.2562007904053,14762.1484828,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"5",8,1287515.31459,5993926.46507,"Innsbruck",34.8699989318848,20906.9089922,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"6",8,1294515.31459,5993926.46507,"Innsbruck",34.8699989318848,27464.0976438,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"7",8,1238515.31459,5986926.46507,"Innsbruck",30.9041996002197,29876.1622868,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"8",8,1245515.31459,5986926.46507,"Innsbruck",35.765998840332,22885.8665724,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"9",8,1252515.31459,5986926.46507,"Innsbruck",35.765998840332,15904.1096748,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"10",8,1259515.31459,5986926.46507,"Innsbruck",37.1585998535156,8950.8949457,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"11",8,1266515.31459,5986926.46507,"Innsbruck",46.4361000061035,2301.37700277,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"12",8,1273515.31459,5986926.46507,"Innsbruck",46.4361000061035,5336.11767945,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"13",8,1280515.31459,5986926.46507,"Innsbruck",47.3955001831055,12233.2321023,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"14",8,1287515.31459,5986926.46507,"Innsbruck",41.4818992614746,19204.9416414,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"15",8,1294515.31459,5986926.46507,"Innsbruck",41.4818992614746,26191.746777,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"16",8,1245515.31459,5979926.46507,"Innsbruck",29.4382991790771,23526.4495538,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"17",8,1252515.31459,5979926.46507,"Innsbruck",29.4382991790771,16812.8416512,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"18",8,1259515.31459,5979926.46507,"Innsbruck",33.7719993591309,10480.9093198,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"19",8,1266515.31459,5979926.46507,"Innsbruck",44.6595993041992,5918.38457257,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"20",8,1273515.31459,5979926.46507,"Innsbruck",44.6595993041992,7629.22615531,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"21",8,1280515.31459,5979926.46507,"Innsbruck",47.3955001831055,13393.3904411,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"22",8,1252515.31459,5972926.46507,"Innsbruck",29.4382991790771,20258.3954011,244610.309811,1268359.75632,5985550.10363,20.8934001922607
"23",8,1259515.31459,5972926.46507,"Innsbruck",33.7719993591309,15413.6433074,244610.309811,1268359.75632,5985550.10363,20.8934001922607
